1,Ramsey,Kuhwald,Overnell,2020-07-21,26,1
2,Valerie,Ellerey,Gomersal,2003-04-06,82,4
3,Nelson,Giacopello,Langley,2021-01-29,78,4
4,Lisette,Cyseley,Raleston,1994-08-18,96,1
5,Marrilee,Slaughter,Tankard,2015-05-13,7,5
6,Broderic,Frensche,Snibson,2018-08-12,81,4
7,Patrizia,Cleevely,Geraud,2001-04-21,73,2
8,Angelica,Ewols,Bonnick,2000-05-23,6,5
9,Vito,Dislee,Molfino,1991-11-08,52,3
10,Guinna,Di Carlo,Nannoni,2010-10-17,20,4
11,Gus,Kuschel,Morena,2003-08-21,99,2
12,Aileen,Chene,Jandel,1991-07-26,67,2
13,Nadeen,Dibbs,Dalrymple,2016-05-09,67,3
14,Florella,Gatherell,Sallis,1994-10-09,94,3
15,Giselbert,Sillett,Reynoldson,2005-09-05,87,4
16,Gail,Romanin,Tolwood,2018-12-05,65,1
17,Catriona,Copnar,Shoppee,2007-10-21,6,2
18,Veriee,Kennelly,Orton,2016-03-14,92,2
19,Pierrette,Musprat,O'Mara,2018-02-26,56,1
20,Nye,Perris,Enser,2000-05-18,89,3
21,Perrine,Cluitt,Crowden,2003-09-23,79,3
22,Kerrill,Faires,Gaish,2018-10-20,35,1
23,Rand,Bleacher,Nawton,2000-02-12,55,2
24,Kitti,Faire,Cartledge,2003-09-20,84,1
25,Lindsay,Wybrow,Babber,2019-04-20,84,2
26,Aime,Sartain,Sallinger,1998-02-09,80,3
27,Marlee,Dunderdale,Stormont,2021-04-16,98,1
28,Aundrea,Faichney,Peddie,2007-03-06,44,1
29,Conrado,Howe,Earingey,2000-03-28,34,4
30,Gates,Shildrake,Braywood,1996-02-28,84,4
31,Amity,Luckman,Rabbet,1999-01-25,28,1
32,Marshall,Germann,Hinrichsen,1991-03-28,20,1
33,Gratiana,Jacketts,Hargreves,2023-07-02,1,3
34,Lock,Loffill,Port,2006-09-28,92,4
35,Heather,Govey,Cowie,1998-06-22,76,1
36,Sib,Dilliston,Halm,2014-09-29,28,4
37,Callean,Brinded,Skeels,2000-11-22,44,2
38,Crichton,Berzin,Clarkin,2005-12-12,90,1
39,Rhys,Franzel,Quennell,2007-03-04,2,5
40,Tybi,Prop,Houston,2000-10-17,28,5
41,Jerad,Highman,MacGaughey,1999-02-13,58,3
42,Dex,Joysey,Macauley,2008-09-10,54,3
43,Pollyanna,Franzolini,Mowbray,1991-08-10,59,2
44,Morrie,Fickling,Adamowicz,2009-11-30,94,4
45,Simone,Goff,Roffey,2020-03-21,64,4
46,Tybi,Castellaccio,Reignould,2021-10-09,42,3
47,Rudd,Peyton,Bouldon,2017-01-30,42,2
48,Benedicto,Torre,Larmor,2013-11-15,12,3
49,Gideon,Laval,Gerrad,2008-07-28,43,1
50,Franni,Dinesen,Ballantine,2017-03-16,61,3
51,Gris,Cortes,Witherington,1995-05-15,31,2
52,Jerrilee,Rookledge,Oldland,1993-09-13,54,5
53,Colby,Borrington,Lashmar,2012-06-07,3,4
54,Pedro,Shave,Johnys,1993-03-03,91,5
55,Trumann,Aldhouse,Lyver,1992-03-09,63,2
56,Brandice,Siegertsz,Leimster,1998-03-28,79,3
57,Sunny,Gorce,Blackbourn,2022-01-29,99,1
58,Sidnee,Klees,Otson,1991-05-11,83,4
59,Melina,McKinstry,Huxtable,2022-10-17,17,3
60,Hercule,Parkeson,Molineux,1991-10-22,15,5
61,Sharl,Warfield,Cawse,1996-07-06,70,2
62,Peirce,Sleightholme,Beall,2012-06-19,61,2
63,Freda,O'Neill,Blasoni,2014-12-15,85,5
64,Clair,Ridley,Yetton,2008-10-09,78,1
65,Basilio,Sitford,Houchen,2019-07-16,24,5
66,Maximilianus,Holdron,Trimmill,2005-01-16,9,2
67,Sayres,Segoe,Coggen,2004-06-30,90,1
68,Frederik,Sutter,Kerton,2011-05-06,86,2
69,Rani,Derx,Alywin,2000-10-26,5,4
70,Curran,Ogden,Lunn,1993-05-25,77,1
71,Raphael,Sinkinson,Shaves,2022-11-07,100,4
72,Cal,Vicar,Falconbridge,2009-08-28,52,5
73,Gaye,Meriott,Calleja,2023-01-21,95,2
74,Jedd,Justice,Boame,2005-08-26,51,3
75,Susanna,MacAindreis,Dight,2003-12-15,32,4
76,Herc,Konert,Coaster,2002-11-11,50,4
